property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,ישראליס 4,3.5,4,100,0,0,12,500,250,5,"מרכז תל אביב, האזור המערבי,והשקט
מפנה לה 3.5 חד ברחוב קסום ליד פרישמן והליכה לים, יציאה מהסלון למרפסת שמש של 13 מטר
חלונות גדולים,עם נוף ירוק,ושקט,סלון עם פינת אוכל.
חדרים שינה עם מזגנים.
בניין חדש,עם מעלית.
רחוב שקט !
כ -100 מטר במטבח עם מקרר וגז ותנור
מעוצבת ואיכותית
בניין עם אינטרקום וקודן
כניסה 10/5/25",0,0,1,1,0,0,0,1,0,1,15000.0,8,1.3
דירה,הצפון הישן החלק הדרום מזרחי,ריינס 24,3.0,0,120,15,,12,600,150,0,"להשכרה - ריינס 24, תל-אביב, 3 חדרים, 120 מ , קומת קרקע + גינה
לתאום 054-2266881
דירת גן שהיא פנינה בלב העיר תל אביב - מוארת, עורפית, סופר שקטה ונעימה!
במרכז העניינים! מרחק רגלי לים, לבנק, לקניון, לברים ומסעדות ולכל מטרה.
חדר מאסטר עצום עם ארון מעוצב מראות שחורות חלונות ענקיים
חדר נוסף עם ארון בגדים גדול
ריהוט חלקי + מזגנים בכל החדרים וחלונות
מבואה גדולה למכונות כביסה מייבש אחסון וכיור נוסף
יציאה נפרדת לגינה מתוך הדירה

שכירות 8,850 שח
כניסה 24.07.2024",0,0,0,0,0,0,0,1,0,0,8850.0,12,2.1
דירה,הצפון הישן החלק הדרום מזרחי,רוזנבאום 8,3.5,1,100,0,0,12,700,,4,"*ללא דמי תיווך* דירת 3 חדרים עם חניה פרטית בבניין. דירה מוארת, מרווחת ויפה.  לכל חדר מרפסת (2 סגורות ואחת קטנה פתוחה). 8,700 שקלים דמי שכירות לחודש כולל החניה. לא מתוכנן תמ""א בבניין. אין תשלום ועד בית. ארנונה- 700 שקלים לחדשיים. מזגנים חדשים בכל חדר. כולל מקרר, כריים, ארונות ושידות. הרבה מקום אחסון בדירה. מיקום מרכזי- קרוב לשרונה, דיזנגוף סנטר, הבימה.",1,0,0,1,0,0,0,1,0,0,87000.0,7,1.3
דירה,הצפון הישן החלק הדרום מזרחי,יוסף אליהו 11,3.0,1,90,0,0,12,300,220,4,"להשכרה החל מ -1.12.23 : בקומה 1 דירת 3 חדרים מהממת, בבניין מורשת מטופח ויפה ברחוב שקט במרכז תל אביב, 2 דק הליכה מהבימה 2 חדרי שירותים (כולל אמבטיה) מרפסת פתוחה, תריסים חשמליים, מיזוג מרכזי, מטבח מאובזר במדיח, כיריים אינדוקציה ותנור .ידידותי לבעלי חיים .לא מתאימה לשותפים .- 9400 ₪ לחודש .  052-4634442 אין דמי תיווך",0,0,0,1,0,0,0,1,0,0,9400.0,8,1.2
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,הירשנברג 3,2.0,4,45,0,0,12,450,200,4,"‏ברחוב הירשנברג

סמטה משדרות בן גוריין המבוקש

מתפנה לדירת שני חדרים 45 מטר מרובע עם גג בקומה שלישית ללא מעלית

הסכם שכירות קליל

בעלת בית נחמדה

נוף פתוח לכל האזור.

כניסה 1.1.2025",0,0,0,1,0,0,0,1,0,0,6500.0,7,1.5
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,המלך ג'ורג' 103,2.0,4,40,65,0,12,,,4,"ללא תיווך
כניסה מיידית(במהלך אוקטובר)
6000 לחודש כולל חשבונות חוץ מחשמל
המלך ג׳ורג׳ 103, מאוד מרכזי
קומה 4 ללא מעלית
שני חדרים
40 מטר בנוי ועוד 65 מטר החצר של הגג סה״כ 105 מטר
מאובזר בשני מזגנים שתי טלוויזיות
תנור מיקרו מקרר ריהוט גן מכונת כביסה שני ארונות
0526302915 אורי",0,0,0,1,0,0,0,1,0,0,6000.0,13,0.7
גג/פנטהאוז,הצפון הישן החלק הדרום מזרחי,בר כוכבא 46,1.0,4,24,30,0,12,250,60,4,"דירת גג, כניסה בלעדית לדייר/ דיירת גג פרטי עם פרגולה, נוף תל אביבי מדהים.",0,0,0,1,0,0,0,1,0,1,5500.0,8,0.7
דירה,הצפון הישן החלק הדרום מזרחי,"ש""ץ 15",3.0,2,48,0,,12,298,50,4,"ברחוב ש""ץ פינת גוטליב [פסיעה מדיזנגוף]
2 חדרי שינה גדולים, מרווחים ומוארים
+ סלון מטבח ומרפסת שירות 
שירוקלחת משופצים
דירה עורפית ושקטה.
מזגן בכל חדר 
באחד החדרים גלריה
מתאימה לשותפים.ות
קומה 2 מתוך 4 קומות  
ללא תיווך.",0,0,0,0,0,0,0,0,0,0,7800.0,1,1.7
דירה,הצפון הישן החלק הדרום מזרחי,האלקושי 4,2.5,1,50,0,0,12,309,100,4,"מרכז תל אביב \ שכונה: הבימה
דירה של  2.5  חדרים כ - 50 מטר, עברה שיפוץ כללי.מטה ממרכז העינינים
כוון אויר: דרום,מערב.
קומה:1 ללא מעלית.
בדירה ארון קיר גדול תנור כיריים חשמליות ומקרר
יציאה למרפסת שמש קטנה.
איכלוס מיידי
ועד בית כ-100 שח ארנונה כ-309 שח לחודשיים",0,0,0,1,0,1,0,1,0,1,7200.0,4,1.2
דירה,הצפון הישן החלק הדרום מזרחי,"בשדרות ח""ן 5",3.0,5,85,0,0,12,500,220,5,"רחוב: בשדרות ח""ן
קומה: 3
דירת 3.5 חדרים, 80 מ""ר, דירה שמורה מאוד, קומה 3 מתוך 5, יש מעלית (עולים שתי מדרגות)
יש מעלית ומקלט.
מתאימה מאוד גם לשותפים
נוף לשדרות ח""ן.
מיקום מדהים ומרכזי אך שקט.
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,8500.0,7,0.9
דירה,הצפון הישן החלק הדרום מזרחי,שפינוזה 5,3.0,2,100,0,0,12,650,250,4,"רחוב:שפינוזה
מרכז תל אביב \ ליד שדרת בן גוריין
3 חדרים קומה ראשונה 100 מטר, מתאים גם ל 3 שותפים  !!
מקלחת 2 שירותים.
ארון בגדים גדול, 2 מרפסות סגורות.
מזגן בכל חדר וגם במטבח.
325 ועד  
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,9000.0,11,2.1
דירת גן,הצפון הישן החלק הדרום מזרחי,ריינס 30,4.0,0,240,0,,12,,,5,"מוצרי חשמל ,ארונות ועוד",1,0,1,1,1,0,1,1,1,1,25000.0,1,2.1
גג/ פנטהאוז,הצפון הישן החלק הדרום מזרחי,השופטים,5.0,5,160,0,,4,,600,5,"4 חדרי שינה פלוס סלון גדול ויציאה למרפסת ענקית פונה לירוק 
פינוי ב 1.10לתקופה ארוכה",1,0,1,1,1,0,0,1,0,1,26500.0,1,1.4
דירה,הצפון הישן החלק הדרום מזרחי,כיכר מסריק 5,4.0,2,90,0,0,12,500,200,4,"בכיכר מסריק מיקום פגז !
מתפנה לה דירת 4 חדרים בבניין באוהאוס מפנק.
סלון גדול ומרווח פתוח למטבח רחב ידיים עם מקום לפינת אוכל.
חדרי שינה גדולים ומרווחים מאוד 2 חדרי שרותיים ואמבטיות.
שפע של אור ואוויר , מרפסת שמש נחמדה.
הדירה מושלמת לזוגות משפחה או 3 שותפים
תאריך כניסה 22/7",0,0,0,1,0,0,0,1,0,1,11500.0,7,1.4
דירה,הצפון הישן החלק הדרום מזרחי,שדרות בן גוריון 88,3.0,1,80,0,0,12,450,120,4,"רחוב: שדרות בן גוריון

ליד גן העיר 

דירה של  3 חדרים,כ - 80  מטר,פונה לחזית מוארת מקסימה ואיותית.

יציאה למרפסת שמש

חדרים שינה עם מזגנים

3 כוון אויר.

מטבח עם פינת אוכל.

בניין עםם קודן,ואינטרקום.

מתאימה לזוג + אחד\שותפים

הליכה ברגל לים\ ולכל מקום.",0,0,0,1,0,0,0,1,0,0,7300.0,6,1.7
